,zimmer,Flaeche,baujahr,mietpreis,Latitude,Longitude
0,3.5,170,,3750,47.43940585,9.382397877725758
1,3.5,92,1995,1355,47.443302149999994,9.409444595042036
2,3,54,1955,600,47.4360592,9.4083591
3,3.5,126,1941,2350,47.42456415,9.376516754573792
4,3.5,75,,1230,47.4243505,9.3764098
5,3.5,87,,1500,47.4284422,9.3650603
6,2,,,820,47.4329104,9.3970976
7,3,,,1000,47.4329104,9.3970976
8,3.5,91,1973,1345,47.4044256,9.3408787
9,4,90,,1090,47.4335966,9.4100812
10,4.5,105,,1600,47.432862650000004,9.398284247469434
11,4,,,1310,47.418344,9.3818168
12,5,92,,900,47.4311029,9.4007211
13,4.5,161,,2500,47.437343850000005,9.379233986718026
14,3.5,77,2000,1460,47.4475266,9.405852
15,4.5,,,1410,47.43664765,9.409934047751209
16,1.5,52,1919,820,47.4358835,9.3840768
17,4.5,85,,1150,47.417316,9.359091599210807
18,2,45,,995,47.4074701,9.3323992
19,3.5,109,1995,1420,47.44301845,9.409875988925334
20,1,60,,1500,47.4175522,9.3589454
21,1,32,,790,47.4175522,9.3589454
22,1,28,,760,47.4175522,9.3589454
23,1,45,,1240,47.4175522,9.3589454
24,2.5,51,,1230,47.4175522,9.3589454
25,1,31,2009,590,47.4361963,9.419055693514824
26,3.5,76,,1400,47.4315623,9.3992568
27,2,,,740,47.425319849999994,9.383418700000004
28,5.5,132,2020,1830,47.4090351,9.3416317
29,3.5,118,2017,1750,47.44053195,9.393024950000001
30,2.5,45,1970,1050,47.4269555,9.3645723
31,3,,,900,47.41793585,9.350596612944916
32,3.5,68,,1130,47.4366521,9.405104
33,1,42,2021,960,47.4376945,9.4046617
34,2.5,67,,890,47.4061226,9.3250183
35,1.5,35,1920,770,47.42392915,9.382682007554054
36,2,47,,840,47.417382399999994,9.366950090310073
37,5.5,133,2019,2620,47.4334248,9.393085718872115
38,1.5,30,,835,47.416382,9.380926661408498
39,2.5,61,1993,1030,47.402303,9.3367384
40,1,,,300,47.4250593,9.3765878
41,5.5,147,,2200,47.42657255,9.384370565866874
42,2.5,55,,1220,47.4065016,9.3103955
43,3.5,83,2020,1700,47.427004049999994,9.38890850566048
44,6.5,154,,2276,47.418079950000006,9.355526250000008
45,2.5,80,,1465,47.422085,9.3737548
46,3,78,,1200,47.4199202,9.3523401
47,1,,,700,47.4255978,9.378218320423022
48,3,85,2020,1320,47.4258864,9.3769489
49,3.5,78,2007,1705,47.4211217,9.3703767
50,1,20,,680,47.4264005,9.3717483
51,3.5,83,,1570,47.436168,9.4107813
52,3.5,91,,1430,47.4064351,9.3364338
53,3,75,,826,47.424907149999996,9.389507766437594
54,3.5,84,,1102,47.4268122,9.384121149999999
55,2.5,61,,1143,47.4268122,9.384121149999999
56,2.5,65,,1095,47.4268122,9.384121149999999
57,5.5,117,1970,2470,47.4267154,9.3641619
58,3.5,74,,1280,47.4273866,9.384420231121855
59,2.5,,,1000,47.425217,9.37797348328104
60,2,45,1962,740,47.41911185,9.372630503680885
61,4.5,,,1240,47.4176213,9.3515874
62,3.5,,,1200,47.4305558,9.383515934848576
63,3,65,,1760,47.4270046,9.3774393
64,1,23,1952,540,47.4215582,9.3687059
65,3.5,75,2016,1450,47.4313665,9.4001637
66,4,94,1934,1650,47.42494295,9.368572832813053
67,1,23,2021,780,47.4376945,9.4046617
68,2,45,,875,47.4193462,9.3634905
69,3,,,820,47.424934,9.3827873
70,3.5,75,1969,1005,47.4026982,9.338653
71,3.5,,,1150,47.4372848,9.388560888871234
72,4,85,,1294,47.438576999999995,9.394766998722856
73,4.5,,,1350,47.4134837,9.3644126
74,4.5,,,1330,47.418157050000005,9.362108100000004
75,1,,,850,47.425685200000004,9.378017150000005
76,2.5,,,1350,47.425685200000004,9.378017150000005
77,1.5,,,710,47.4301751,9.3804861
78,4.5,110,2023,1780,47.403215200000005,9.32463844863749
79,3.5,,,1130,47.4394083,9.3896584
80,3.5,75,,1350,47.4196911,9.353605349999999
81,3.5,109,2007,2100,47.4241912,9.3733439
82,2,37,1951,725,47.4298776,9.392419
83,3,73,1996,1010,47.450600300000005,9.397851804620855
84,4,73,1956,1000,47.4076929,9.32975935
85,3.5,88,2007,1465,47.42904505,9.39086515255581
86,3.5,84,,1250,47.4069174,9.32155188448548
87,1,33,1890,600,47.424876749999996,9.367581510708007
88,2,45,1919,1210,47.420257,9.3668062
89,3.5,68,,1050,47.4250593,9.3765878
90,2.5,76,2016,1450,47.4393143,9.38039938280507
91,3.5,,,940,47.436454,9.4079607
92,2,,,900,47.43496235,9.385193601421637
93,4.5,81,,1080,47.4115419,9.3430864
94,5,112,,1650,47.4419523,9.4030279
95,4.5,65,1870,1130,47.425933900000004,9.384537502304031
